title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director,actor1,actor2,actor3,actor4,actor5,imdb_url,rt_url
Dragon Wars,Feature Film,Drama,90,PG-13,Sony Pictures Home Entertainment,2007,9,13,2008,1,8,3.6,21268,Rotten,29,Spilled,19,no,no,no,no,no,no,Hyung-rae Shim,Jason Behr,Amanda Brooks,Robert Forster,Aimee Garcia,Craig Robinson,http://www.imdb.com/title/tt0372873/,//www.rottentomatoes.com/m/dragon_wars/
Fallen,Feature Film,Drama,124,R,Warner Home Video,1997,6,1,1998,6,16,7,56201,Rotten,40,Upright,73,no,no,yes,no,no,no,Gregory Hoblit,Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,James Gandolfini,http://www.imdb.com/title/tt0119099/,//www.rottentomatoes.com/m/1080990-fallen/
Tamara Drewe,Feature Film,Drama,107,R,Sony Pictures Classics,2010,10,8,2011,2,8,6.2,16717,Fresh,66,Spilled,42,no,no,no,no,no,no,Stephen Frears,Gemma Arterton,Roger Allam,Bill Camp,Dominic Cooper,Luke Evans,http://www.imdb.com/title/tt1486190/,//www.rottentomatoes.com/m/tamara_drewe_2010/
Not Without My Daughter,Feature Film,Drama,116,PG-13,MGM Home Entertainment,1991,1,11,2001,10,2,6.2,9357,Rotten,47,Upright,71,no,no,no,yes,no,no,Brian Gilbert,Sally Field,Alfred Molina,Sheila Rosenthal,Roshan Seth,Sarah Badel,http://www.imdb.com/title/tt0102555/,//www.rottentomatoes.com/m/not_without_my_daughter/
Meet Joe Black,Feature Film,Drama,178,PG-13,Universal Pictures,1998,11,13,1999,4,6,7.1,163490,Rotten,51,Upright,81,no,no,yes,no,no,no,Martin Brest,Brad Pitt,Anthony Hopkins,Claire Forlani,Jake Weber,Marcia Gay Harden,http://www.imdb.com/title/tt0119643/,//www.rottentomatoes.com/m/meet_joe_black/
I'm Not There,Feature Film,Drama,135,R,The Weinstein Co.,2007,11,21,2008,5,6,7,47297,Certified Fresh,76,Upright,70,no,no,no,yes,no,no,Todd Haynes,Cate Blanchett,Christian Bale,Richard Gere,Heath Ledger,Marcus Carl Franklin,http://www.imdb.com/title/tt0368794/,//www.rottentomatoes.com/m/im_not_there_suppositions_on_a_film_concerning_dylan/
Three Wishes,Feature Film,Drama,115,PG,HBO Video,1995,11,3,2001,8,7,6.1,2145,Rotten,13,Spilled,51,no,no,no,no,no,no,Martha Coolidge,Patrick Swayze,Mary Elizabeth Mastrantonio,Joe Mazzello,Seth Mumy,David Marshall Grant,http://www.imdb.com/title/tt0114663/,//www.rottentomatoes.com/m/three_wishes/
Driving Miss Daisy,Feature Film,Drama,99,PG,Fathom Events,1989,6,1,1997,4,29,7.4,69338,Certified Fresh,81,Upright,81,yes,yes,no,yes,no,no,Bruce Beresford,Jessica Tandy,Morgan Freeman,Dan Aykroyd,Patti LuPone,Esther Rolle,http://www.imdb.com/title/tt0097239/,//www.rottentomatoes.com/m/driving_miss_daisy/
Max,Feature Film,Drama,106,R,Lions Gate Films,2002,12,27,2003,5,20,6.6,6228,Fresh,69,Upright,64,no,no,no,no,no,no,Menno Meyjes,John Cusack,Noah Taylor,Leelee Sobieski,Molly Parker,Ulrich Thomsen,http://www.imdb.com/title/tt0290210/,//www.rottentomatoes.com/m/max/
Serpico,Feature Film,Drama,130,R,Paramount Pictures,1973,12,5,2002,12,3,7.8,75468,Fresh,90,Upright,88,no,no,yes,no,no,no,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Tony Roberts,Biff McGuire,http://www.imdb.com/title/tt0070666/,//www.rottentomatoes.com/m/serpico/
Basic,Feature Film,Drama,98,R,Sony Pictures Entertainment,2003,3,28,2003,7,8,6.5,48519,Rotten,21,Upright,64,no,no,no,no,no,no,John McTiernan,John Travolta,Connie Nielsen,Samuel L. Jackson,Tim Daly,Taye Diggs,http://www.imdb.com/title/tt0264395/,//www.rottentomatoes.com/m/basic/
The Color Purple,Feature Film,Drama,154,PG-13,Warner Home Video,1985,12,16,2003,2,18,7.8,58668,Fresh,88,Upright,94,yes,no,no,no,yes,no,Steven Spielberg,Whoopi Goldberg,Danny Glover,Margaret Avery,Oprah Winfrey,Willard E. Pugh,http://www.imdb.com/title/tt0088939/,//www.rottentomatoes.com/m/color_purple/
The Man Without a Face,Feature Film,Drama,115,PG-13,Warner Home Video,1993,8,25,2004,2,24,6.7,22079,Fresh,67,Upright,64,no,no,no,no,yes,no,Mel Gibson,Mel Gibson,Nick Stahl,Margaret Whitton,Fay Masterson,Gaby Hoffmann,http://www.imdb.com/title/tt0107501/,//www.rottentomatoes.com/m/man_without_a_face/
The White Countess,Feature Film,Drama,135,PG-13,Sony Pictures Classics,2005,12,21,2006,5,16,6.7,5258,Rotten,50,Spilled,49,no,no,no,no,no,no,James Ivory,Ralph Fiennes,Natasha Richardson,Vanessa Redgrave,Lynn Redgrave,Madeleine Potter,http://www.imdb.com/title/tt0384686/,//www.rottentomatoes.com/m/white_countess/
Viva Knievel!,Feature Film,Drama,106,PG,WARNER BROTHERS PICTURES,1977,7,15,2005,5,31,2.7,761,Rotten,17,Spilled,17,no,no,no,no,no,no,Gordon Douglas,Evel Knievel,Lauren Hutton,Gene Kelly,Red Buttons,Leslie Nielsen,http://www.imdb.com/title/tt0076890/,//www.rottentomatoes.com/m/viva_knievel/
Rising Sun,Feature Film,Drama,125,R,Twentieth Century Fox Home Entertainment,1993,7,30,2000,6,20,6.2,33839,Rotten,35,Spilled,40,no,no,no,no,no,no,Philip Kaufman,Sean Connery,Wesley Snipes,Harvey Keitel,Kevin Anderson,Mako,http://www.imdb.com/title/tt0107969/,//www.rottentomatoes.com/m/rising_sun/
Seven Pounds,Feature Film,Drama,123,PG-13,Sony Pictures,2008,12,19,2009,3,31,7.7,225130,Rotten,27,Upright,75,no,no,no,no,no,no,Gabriele Muccino,Rosario Dawson,Woody Harrelson,Michael Ealy,Barry Pepper,Elpidia Carrillo,http://www.imdb.com/title/tt0814314/,//www.rottentomatoes.com/m/seven_pounds/
Breaking and Entering,Feature Film,Drama,120,R,The Weinstein Company,2007,2,16,2007,5,8,6.6,19714,Rotten,34,Spilled,52,no,no,no,no,yes,no,Anthony Minghella,Jude Law,Juliette Binoche,Robin Wright,Martin Freeman,Ray Winstone,http://www.imdb.com/title/tt0443456/,//www.rottentomatoes.com/m/breaking_and_entering/
The English Patient,Feature Film,Drama,162,R,Miramax Films,1996,11,15,1998,3,24,7.4,137126,Certified Fresh,84,Upright,83,yes,yes,yes,no,yes,no,Anthony Minghella,Ralph Fiennes,Juliette Binoche,Willem Dafoe,Kristin Scott Thomas,Colin Firth,http://www.imdb.com/title/tt0116209/,//www.rottentomatoes.com/m/english_patient/
Heaven & Earth,Feature Film,Drama,140,R,Warner Home Video,1994,6,1,2004,10,19,6.8,10468,Rotten,44,Upright,72,no,no,no,no,yes,no,Oliver Stone,Tommy Lee Jones,Hiep Thi Le,Joan Chen,Dr. Haing S. Ngor,Debbie Reynolds,http://www.imdb.com/title/tt0107096/,//www.rottentomatoes.com/m/1048333-heaven_and_earth/
The Last Kiss,Feature Film,Drama,115,R,Paramount,2006,9,15,2006,12,26,6.5,37770,Rotten,46,Spilled,59,no,no,no,no,no,no,Tony Goldwyn,Zach Braff,Jacinda Barrett,Casey Affleck,Rachel Bilson,Michael Weston,http://www.imdb.com/title/tt0434139/,//www.rottentomatoes.com/m/last_kiss/
Three of Hearts,Feature Film,Drama,102,R,Sony Pictures Home Entertainment,1993,4,30,2004,5,4,5.5,1628,Rotten,56,Spilled,38,no,no,no,no,no,no,Yurek Bogayevicz,William Baldwin,Kelly Lynch,Sherilyn Fenn,Joe Pantoliano,Gail Strickland,http://www.imdb.com/title/tt0108334/,//www.rottentomatoes.com/m/three_of_hearts/
Then She Found Me,Feature Film,Drama,100,R,ThinkFilm,2007,9,7,2008,9,2,6,8320,Rotten,50,Spilled,44,no,no,yes,yes,no,no,Helen Hunt,Helen Hunt,Bette Midler,Colin Firth,Matthew Broderick,Ben Shenkman,http://www.imdb.com/title/tt0455805/,//www.rottentomatoes.com/m/then_she_found_me/
Lord of the Flies,Feature Film,Drama,90,R,Nelson Entertainment,1989,1,1,2001,11,20,6.4,21704,Fresh,63,Spilled,52,no,no,no,no,no,no,Harry Hook,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,Gary Rule,http://www.imdb.com/title/tt0100054/,//www.rottentomatoes.com/m/lord_of_the_flies/
"Same Time, Next Year",Feature Film,Drama,119,PG,Universal Pictures,1978,11,22,2004,4,6,7.2,4375,Rotten,40,Upright,85,no,no,no,yes,no,no,Robert Mulligan,Ellen Burstyn,Alan Alda,Ivan Bonar,Bernie Kuby,Cosmo Sardo,http://www.imdb.com/title/tt0078199/,//www.rottentomatoes.com/m/same_time_next_year/
Proof of Life,Feature Film,Drama,135,R,Warner Bros. Pictures,2000,12,8,2001,6,19,6.2,48324,Rotten,40,Spilled,43,no,no,yes,no,no,no,Taylor Hackford,Meg Ryan,Russell Crowe,David Morse,David Caruso,Pamela Reed,http://www.imdb.com/title/tt0228750/,//www.rottentomatoes.com/m/proof_of_life/
The Golden Bowl,Feature Film,Drama,130,R,Lions Gate Films,2000,5,14,2001,11,6,6,3745,Rotten,54,Spilled,39,no,no,no,no,no,no,James Ivory,Uma Thurman,Kate Beckinsale,Jeremy Northam,Nick Nolte,Anjelica Huston,http://www.imdb.com/title/tt0200669/,//www.rottentomatoes.com/m/golden_bowl/
Easy,Feature Film,Drama,99,R,Magic Lamp Releasing,2004,11,26,2005,3,1,5.9,1493,Rotten,59,Spilled,47,no,no,no,no,no,no,Jane Weinstock,Marguerite Moreau,Naveen Andrews,Emily Deschanel,Jordan Garrett,Caroline Goodall,http://www.imdb.com/title/tt0379270/,//www.rottentomatoes.com/m/easy/
The Wedding Banquet (Xi yan),Feature Film,Drama,106,R,Good Machine,1993,8,4,2004,6,15,7.6,10492,Fresh,96,Upright,87,no,no,no,no,yes,no,Ang Lee,Winston Chao,May Chin,Mitchell Lichtenstein,Sihung Lung,Ah-Leh Gua,http://www.imdb.com/title/tt0107156/,//www.rottentomatoes.com/m/wedding_banquet/
Gotti,TV Movie,Drama,116,R,HBO Video,1996,8,17,2000,9,19,7.3,4451,Fresh,60,Upright,83,no,no,no,no,no,no,Robert Harmon,Armand Assante,William Forsythe,Anthony Quinn,Vincent Pastore,Richard C. Sarafian,http://www.imdb.com/title/tt0116441/,//www.rottentomatoes.com/m/gotti/
Warrior,Feature Film,Drama,140,PG-13,Lionsgate,2011,9,9,2011,12,20,8.2,315051,Certified Fresh,82,Upright,92,no,no,no,no,no,no,Gavin O'Connor,Joel Edgerton,Tom Hardy,Nick Nolte,Jennifer Morrison (II),Frank Grillo,http://www.imdb.com/title/tt1291584/,//www.rottentomatoes.com/m/1212910-warrior/
Percy Jackson: Sea of Monsters,Feature Film,Drama,106,PG,20th Century Fox,2013,8,7,2013,12,17,5.9,82737,Rotten,42,Spilled,55,no,no,no,no,no,no,Thor Freudenthal,Logan Lerman,Brandon T. Jackson,Alexandra Daddario,Nathan Fillion,Jake Abel,http://www.imdb.com/title/tt1854564/,//www.rottentomatoes.com/m/percy_jackson_sea_of_monsters/
Visioneers,Feature Film,Drama,94,R,Gravitas,2008,6,12,2009,7,21,6.1,4944,Fresh,70,Spilled,54,no,no,no,no,no,no,Jared Drake,Zach Galifianakis,Judy Greer,Mia Maestro,Missi Pyle,Aubrey Morris,http://www.imdb.com/title/tt0833557/,//www.rottentomatoes.com/m/visioneers/
Bats,Feature Film,Drama,91,R,Destination Films,1999,10,22,2001,8,7,3.6,8229,Rotten,17,Spilled,14,no,no,no,no,no,no,Louis Morneau,Lou Diamond Phillips,Dina Meyer,Bob Gunton,Leon,Carlos Jacott,http://www.imdb.com/title/tt0200469/,//www.rottentomatoes.com/m/bats/
The Brother from Another Planet,Feature Film,Drama,108,R,Twentieth Century Fox Home Entertainment,1984,9,7,2003,10,25,6.8,4516,Fresh,92,Upright,76,no,no,no,no,no,no,John Sayles,Joe Morton,Darryl Edwards,Steve James,Leonard Jackson,Bill Cobbs,http://www.imdb.com/title/tt0087004/,//www.rottentomatoes.com/m/the_brother_from_another_planet/
North Face (Nordwand),Feature Film,Drama,126,Unrated,Music Box Films,2010,1,29,2010,5,11,7.4,10938,Certified Fresh,84,Upright,82,no,no,no,no,no,no,Philipp Stolzl,Benno Furmann,Florian Lukas,Johanna Wokalek,Georg Friedrich,Simon Schwarz,http://www.imdb.com/title/tt0844457/,//www.rottentomatoes.com/m/north_face/
Shakedown,Feature Film,Drama,97,R,MCA Universal Home Video,1988,5,6,1998,6,15,5.8,1838,Fresh,71,Spilled,43,no,no,no,no,no,no,James Glickenhaus,Sam Elliott,Peter Weller,Patricia Charbonneau,Blanche Baker,Richard Brooks (VI),http://www.imdb.com/title/tt0096087/,//www.rottentomatoes.com/m/1018704-shakedown/
The Principal,Feature Film,Drama,109,R,Sony Pictures Home Entertainment,1987,9,18,2002,7,30,6.2,6552,Rotten,50,Spilled,52,no,no,no,no,no,no,Christopher Cain,James Belushi,Michael Wright,Louis Gossett Jr,Rae Dawn Chong,Esai Morales,http://www.imdb.com/title/tt0093780/,//www.rottentomatoes.com/m/principal/
A New Life,Feature Film,Drama,104,PG-13,Paramount Pictures,1988,3,25,2013,2,26,5.7,390,Rotten,29,Spilled,25,no,no,no,no,no,no,Alan Alda,Alan Alda,Ann-Margret,Mary Kay Place,John Shea,Hal Linden,http://www.imdb.com/title/tt0095726/,//www.rottentomatoes.com/m/new_life/
The Sessions,Feature Film,Drama,95,R,Fox Searchlight Pictures,2012,10,19,2013,2,12,7.2,35635,Certified Fresh,93,Upright,80,no,no,no,yes,no,no,Ben Lewin,John Hawkes,Helen Hunt,William H. Macy,Annika Marks,Moon Bloodgood,http://www.imdb.com/title/tt1866249/,//www.rottentomatoes.com/m/the_sessions/
Prison,Feature Film,Drama,102,R,New World Video,1988,3,4,2013,2,19,5.9,2569,Rotten,40,Spilled,34,no,no,no,no,no,no,Renny Harlin,Lane Smith,Viggo Mortensen,Chelsea Field,Andre De Shields,Lincoln Kilpatrick,http://www.imdb.com/title/tt0095904/,//www.rottentomatoes.com/m/prison/
Kiss of Death,Feature Film,Drama,101,R,Twentieth Century Fox Home Entertainment,1995,5,19,2004,6,1,5.9,13980,Fresh,68,Spilled,37,no,no,yes,yes,no,no,Barbet Schroeder,David Caruso,Samuel L. Jackson,Helen Hunt,Kathryn Erbe,Nicolas Cage,http://www.imdb.com/title/tt0113552/,//www.rottentomatoes.com/m/1060720-kiss_of_death/
Citizen X,TV Movie,Drama,105,R,HBO Video,1995,2,25,2000,7,11,7.7,11477,Fresh,86,Upright,86,no,no,no,no,no,no,Chris Gerolmo,Stephen Rea,Donald Sutherland,Jeffrey DeMunn,Max von Sydow,Joss Ackland,http://www.imdb.com/title/tt0112681/,//www.rottentomatoes.com/m/citizen_x/
The Other Woman,Feature Film,Drama,102,R,IFC Films,2011,2,4,2011,5,17,6.4,14970,Rotten,39,Spilled,45,no,no,no,yes,no,no,Don Roos,Natalie Portman,Lisa Kudrow,Scott Cohen,Charlie Tahan,Lauren Ambrose,http://www.imdb.com/title/tt1032825/,//www.rottentomatoes.com/m/the_other_woman_2011/
Pusher III: I'm the Angel of Death,Feature Film,Drama,90,R,Nordisk Film Biografdistributi,2005,9,2,2006,11,7,7.3,9001,Fresh,92,Upright,81,no,no,no,no,no,no,Nicolas Winding Refn,Zlatko Buric,Zlatko Burik,Marinela Dekic,Ilyas Agac,Slavko Labovic,http://www.imdb.com/title/tt0425379/,//www.rottentomatoes.com/m/pusher_iii_im_the_angel_of_death/
Two for the Money,Feature Film,Drama,122,R,Universal Pictures,2005,10,7,2006,1,17,6.2,35868,Rotten,22,Spilled,48,no,no,yes,no,no,no,D.J. Caruso,Al Pacino,Matthew McConaughey,Rene Russo,Armand Assante,Jeremy Piven,http://www.imdb.com/title/tt0417217/,//www.rottentomatoes.com/m/two_for_the_money/
Cousins,Feature Film,Drama,109,PG-13,Paramount Home Video,1989,1,1,2002,1,15,6.2,3467,Rotten,50,Upright,69,no,no,no,no,no,no,Joel Schumacher,Ted Danson,Isabella Rossellini,Sean Young,William L. Petersen,Lloyd Bridges,http://www.imdb.com/title/tt0097116/,//www.rottentomatoes.com/m/cousins/
Spy Game,Feature Film,Drama,126,R,Universal Pictures,2001,11,21,2002,4,16,7,117688,Fresh,66,Upright,75,no,no,no,no,no,no,Tony Scott,Robert Redford,Brad Pitt,Catherine McCormack,Stephen Dillane,Larry Bryggman,http://www.imdb.com/title/tt0266987/,//www.rottentomatoes.com/m/spy_game/
One Night With the King,Feature Film,Drama,123,PG,Gener8Xion Entertainment,2006,10,13,2007,1,30,6.3,5704,Rotten,19,Upright,78,no,no,no,no,no,no,Michael O. Sajbel,Peter O'Toole,Tiffany Dupont,Omar Sharif,Luke Goss,John Rhys-Davies,http://www.imdb.com/title/tt0430431/,//www.rottentomatoes.com/m/one_night_with_the_king/
Deep Impact,Feature Film,Drama,120,PG-13,Paramount Pictures,1998,5,8,1998,12,15,6.1,132215,Rotten,48,Spilled,43,no,no,yes,no,no,no,Mimi Leder,Robert Duvall,Tea Leoni,Elijah Wood,Vanessa Redgrave,Maximilian Schell,http://www.imdb.com/title/tt0120647/,//www.rottentomatoes.com/m/deep_impact/
Shoot 'Em Up,Feature Film,Drama,86,R,New Line Cinema,2007,9,7,2008,1,1,6.7,127458,Fresh,67,Upright,65,no,no,no,no,no,no,Michael Davis,Clive Owen,Paul Giamatti,Monica Bellucci,Stephen McHattie,Greg Bryk,http://www.imdb.com/title/tt0465602/,//www.rottentomatoes.com/m/shoot_em_up/
The Room,Feature Film,Drama,99,R,Chloe Productions,2003,6,27,2005,12,17,3.5,27769,Rotten,35,Spilled,46,no,no,no,no,no,no,Tommy Wiseau,Tommy Wiseau,Juliette Danielle,Greg Sestero,Philip Haldiman,Carolyn Minnott,http://www.imdb.com/title/tt0368226/,//www.rottentomatoes.com/m/the_room_1998/
The Longest Yard,Feature Film,Drama,121,R,Paramount Home Video,1974,8,30,2001,1,30,7.1,12819,Fresh,81,Upright,75,no,no,no,no,no,no,Robert Aldrich,Burt Reynolds,Eddie Albert,Ed Lauter,Michael Conrad,Malcolm Atterbury,http://www.imdb.com/title/tt0071771/,//www.rottentomatoes.com/m/1012665-longest_yard/
May,Feature Film,Drama,93,R,Lionsgate Releasing,2003,6,6,2003,7,15,6.7,26010,Fresh,69,Upright,75,no,no,no,no,no,no,Lucky McKee,Angela Bettis,Jeremy Sisto,Anna Faris,James Duval,Nichole M. Hiltz,http://www.imdb.com/title/tt0303361/,//www.rottentomatoes.com/m/may/
Any Day Now,Feature Film,Drama,98,R,Music Box Films,2012,12,14,2013,4,23,7.5,4515,Certified Fresh,79,Upright,76,no,no,no,no,no,no,Travis Fine,Alan Cumming,Garret Dillahunt,Isaac Leyva,Gregg Henry,Frances Fisher,http://www.imdb.com/title/tt2066176/,//www.rottentomatoes.com/m/any_day_now_2012/
Grosse Pointe Blank,Feature Film,Drama,107,R,Buena Vista Internationa,1997,4,11,1998,5,19,7.4,71572,Certified Fresh,79,Upright,87,no,no,no,no,no,no,George Armitage,John Cusack,Minnie Driver,Dan Aykroyd,Alan Arkin,Joan Cusack,http://www.imdb.com/title/tt0119229/,//www.rottentomatoes.com/m/grosse_pointe_blank/
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Feature Film,Drama,118,R,Warner Bros.,1980,2,29,2002,9,17,7.2,3883,Fresh,70,Upright,79,no,no,no,no,no,no,William Peter Blatty,Stacy Keach,Scott Wilson,Jason Miller,Ed Flanders,Neville Brand,http://www.imdb.com/title/tt0081237/,//www.rottentomatoes.com/m/ninth_configuration/
Mr. & Mrs. Bridge,Feature Film,Drama,126,PG-13,Miramax Films,1990,11,23,2001,2,13,6.7,2282,Fresh,80,Spilled,42,no,no,yes,yes,no,no,James Ivory,Paul Newman,Joanne Woodward,Blythe Danner,Robert Sean Leonard,Kyra Sedgwick,http://www.imdb.com/title/tt0100200/,//www.rottentomatoes.com/m/mr_and_mrs_bridge/
Spring Breakers,Feature Film,Drama,94,R,A24 Films,2013,3,22,2013,7,9,5.3,104457,Fresh,66,Spilled,38,no,no,no,no,no,no,Harmony Korine,Selena Gomez,James Franco,Ashley Benson,Rachel Korine,Vanessa Hudgens,http://www.imdb.com/title/tt2101441/,//www.rottentomatoes.com/m/spring_breakers_2013/
Orca - The Killer Whale,Feature Film,Drama,92,PG,Paramount Pictures,1977,7,15,2004,9,14,5.6,7628,Rotten,15,Spilled,33,no,no,no,no,no,no,Michael Anderson,Richard Harris,Charlotte Rampling,Keenan Wynn,Will Sampson,Bo Derek,http://www.imdb.com/title/tt0076504/,//www.rottentomatoes.com/m/orca_the_killer_whale/
Tang shan da xiong (Fists of Fury) (The Big Boss),Feature Film,Drama,100,R,National General Pictures,1972,4,1,2005,12,13,7.1,17934,Fresh,60,Upright,74,no,no,no,no,no,no,Wei Lo,Bruce Lee,Maria Yi,Nora Miao,James Tien,Mao Ker Hsiu,http://www.imdb.com/title/tt0067824/,//www.rottentomatoes.com/m/fists_of_fury/
The Story Of Luke,Feature Film,Drama,96,Unrated,Gravitas Ventures,2013,4,5,2013,8,6,7.3,2502,Fresh,80,Upright,78,no,no,no,no,no,no,Alonso Mayo,Lou Taylor Pucci,Seth Green,Cary Elwes,Kristin Bauer van Straten,Kenneth Welsh,http://www.imdb.com/title/tt1038693/,//www.rottentomatoes.com/m/the_story_of_luke_2012/
"New York, New York",Feature Film,Drama,155,PG,MGM Home Entertainment,1977,6,22,2005,2,8,6.7,13092,Fresh,67,Spilled,59,no,no,yes,yes,yes,no,Martin Scorsese,Liza Minnelli,Robert De Niro,Lionel Stander,Barry Primus,Mary Kay Place,http://www.imdb.com/title/tt0076451/,//www.rottentomatoes.com/m/new_york_new_york/
K-19: The Widowmaker,Feature Film,Drama,138,PG-13,Paramount Pictures,2002,7,19,2002,12,10,6.6,48137,Fresh,60,Spilled,52,no,no,no,no,yes,no,Kathryn Bigelow,Harrison Ford,Liam Neeson,Peter Sarsgaard,Christian Camargo,Joss Ackland,http://www.imdb.com/title/tt0267626/,//www.rottentomatoes.com/m/k19_the_widowmaker/
What's Eating Gilbert Grape,Feature Film,Drama,118,PG-13,Paramount Pictures,1993,12,25,2001,11,17,7.8,164112,Certified Fresh,89,Upright,89,no,no,no,no,no,no,Lasse Hallstrom,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,Darlene Cates,http://www.imdb.com/title/tt0108550/,//www.rottentomatoes.com/m/whats_eating_gilbert_grape/
Of Mice and Men,Feature Film,Drama,115,PG-13,Metro-Goldwyn-Mayer Pictures,1992,10,2,2001,11,6,7.5,30921,Fresh,96,Upright,82,yes,no,no,no,no,no,Gary Sinise,John Malkovich,Gary Sinise,Ray Walston,Casey Siemaszko,Sherilyn Fenn,http://www.imdb.com/title/tt0105046/,//www.rottentomatoes.com/m/1040322-of_mice_and_men/
The Freshman,Feature Film,Drama,102,PG,Sony Pictures Home Entertainment,1990,7,20,1998,6,30,6.5,15525,Certified Fresh,93,Upright,61,no,no,yes,no,no,no,Andrew Bergman,Marlon Brando,Matthew Broderick,Bruno Kirby,Penelope Ann Miller,Frank Whaley,http://www.imdb.com/title/tt0099615/,//www.rottentomatoes.com/m/10009001-the_freshman/
